Index,Time,mtr.state.i_dq.v1,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.state.pos_spd_e.v2
337,0.336969,0.0495419167,3.6630559,0.172523916,-110.447815
338,0.337965,0.0535541177,3.64782763,0.175559506,-154.709961
339,0.338964,0.047418803,3.634377,0.174927741,-134.746429
340,0.339965,0.0457681492,3.62199831,0.174913883,-123.241158
341,0.340965,0.0530841202,3.61026049,0.175737023,-116.602371
342,0.341966,0.0557968505,3.59891558,0.17314519,-112.757538
343,0.342965,0.0489538945,3.58780336,0.178717792,-110.553101
344,0.343966,0.0536743924,3.57683611,0.177146077,-109.281097
345,0.344965,0.0473046079,3.56168413,0.180720195,-154.022614
346,0.345964,0.0492971539,3.55254793,0.182006329,-88.874321
347,0.346981,0.0470588431,3.53850222,0.184015766,-142.247467
348,0.347965,0.050944455,3.52576113,0.18372649,-127.56942
349,0.348969,0.0516663864,3.51380968,0.183732688,-119.085754
350,0.349965,0.0441456437,3.50233126,0.185323223,-114.20462
351,0.350969,0.0484810807,3.49114275,0.184524104,-111.3881
352,0.351966,0.0508560762,3.48012972,0.186211959,-109.748795
353,0.352964,0.0457999744,3.46921587,0.187809587,-108.816994
354,0.353965,0.051302541,3.45836687,0.187660351,-108.279327
355,0.354964,0.0504941419,3.4475522,0.18823424,-107.954964
356,0.355966,0.0504945442,3.43676424,0.18861258,-107.781921
357,0.356966,0.0495431721,3.4217267,0.189748928,-153.157562
358,0.357980,0.0530953556,3.41265535,0.189029917,-88.3751678
359,0.358964,0.0478956662,3.40291262,0.190929919,-96.483963
360,0.359969,0.0527290478,3.39277315,0.187314689,-101.148788
361,0.360965,0.050019905,3.38238573,0.191109136,-103.854607
362,0.361969,0.0500201136,3.37185335,0.19441095,-105.415924
363,0.362965,0.0483733527,3.36123705,0.190367863,-106.302719
364,0.363980,0.0509748012,3.35056353,0.191050142,-106.828537
365,0.364964,0.04778919,3.34412813,0.194465116,-61.642334
366,0.365969,0.048958797,3.33597612,0.195370197,-81.058548
367,0.366965,0.0488520376,3.32679415,0.193674624,-92.2479935
368,0.367965,0.051083155,3.31698656,0.195356354,-98.7186584
369,0.368979,0.0496498719,3.31107378,0.194960073,-56.9627609
370,0.369964,0.0500213951,3.30323839,0.193803743,-78.3583374
371,0.370969,0.0490653999,3.29424715,0.194754601,-90.6899109
372,0.371964,0.0511893481,3.284554,0.19663921,-97.8196106
373,0.372969,0.0489598513,3.27444124,0.1947916,-101.933601
374,0.373965,0.0516676381,3.26833773,0.195082203,-58.817852
375,0.374969,0.0434854664,3.26039553,0.194804907,-79.4146423
376,0.375965,0.0494390242,3.25133562,0.195426762,-91.3135452
377,0.376964,0.0495435335,3.24160051,0.195011571,-98.1794586
378,0.377965,0.0488564856,3.23572969,0.197119832,-56.6516342
379,0.378969,0.0517715067,3.22792482,0.195478618,-78.1646881
380,0.379980,0.0506056584,3.21894503,0.193907112,-90.5922928
381,0.380964,0.0494403988,3.20926332,0.195857689,-97.7491684
382,0.381969,0.0501938239,3.20342684,0.196218014,-56.403347
383,0.382964,0.0525245368,3.19563723,0.19586803,-78.0355377
384,0.383969,0.0500234105,3.18666887,0.196335003,-90.5177765
385,0.384965,0.0502277985,3.1769948,0.19615455,-97.7061691
386,0.385965,0.0500237308,3.16688967,0.196177304,-101.868149
387,0.386965,0.0496451333,3.1607976,0.196520835,-58.7800865
388,0.387965,0.050504379,3.1528554,0.196482807,-79.4069672
389,0.388966,0.0537922978,3.14379549,0.196196929,-91.2949982
390,0.389965,0.0458762646,3.13833284,0.197297707,-52.6791534
391,0.390966,0.0501249358,3.13077211,0.195653155,-75.8865967
392,0.391981,0.0495435037,3.12193727,0.196355909,-89.2777863
393,0.392964,0.0499243438,3.11661577,0.195864812,-51.5151787
394,0.393969,0.0514866076,3.10913515,0.195826963,-75.2008438
395,0.394965,0.050505925,3.10462618,0.195507407,-43.3924828
396,0.395969,0.0475185588,3.09763765,0.196135148,-70.5279922
397,0.396965,0.0500249341,3.08915377,0.19735539,-86.1857605
398,0.397964,0.0474189408,3.08403826,0.197305501,-49.7310143
399,0.398965,0.0525324307,3.07668352,0.194651246,-74.1713409
400,0.399965,0.0432796702,3.0679822,0.196650043,-88.2880478
401,0.400965,0.043444477,3.06273317,0.19955036,-50.9440804
402,0.401969,0.0481954925,3.05529833,0.194141313,-74.8854218
403,0.402980,0.0488651469,3.05081606,0.194100931,-43.2104797
404,0.403964,0.0489633046,3.04384279,0.192673311,-70.4088593
405,0.404969,0.054464031,3.039639,0.193257764,-40.6274071
406,0.405965,0.0535975881,3.03283358,0.192049205,-68.9324875
407,0.406969,0.05089375,3.02446413,0.193769455,-85.2509995
408,0.407966,0.0500285812,3.01941729,0.19323723,-49.1916389
409,0.408964,0.052053865,3.01210451,0.193335414,-73.8742294
410,0.409966,0.0494465977,3.00769091,0.194297537,-42.6269989
411,0.410965,0.0527295992,3.0007596,0.193734974,-70.0862885
412,0.411965,0.0438434593,2.99658251,0.194637537,-40.4412766
413,0.412965,0.0437457711,2.98979616,0.195656523,-68.8109665
