Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.reference.u_dq.v1,mtr.reference.u_dq.v2
1633,8.169083,0.814839721,0.499546647,1.52656603,-2.93341494,3.20590305
1634,8.174094,-0.656467795,1.03380239,3.02348375,-5.16822052,2.57348585
1635,8.179081,-1.35251069,-0.575627685,0.396121025,5.77350235,0
1636,8.184080,-0.115460262,0.0481401533,1.93159389,-0.269264758,-0.554617405
1637,8.189096,0.125435129,0.235762939,1.77289104,-0.827660143,0.594629943
1638,8.194079,-0.140789047,0.106833026,1.83849239,-0.267986417,-0.441710055
1639,8.199097,0.0381596163,-0.140542597,2.01746273,0.552356839,0.000436127186
1640,8.204080,0.0830497965,0.0302042067,2.0570631,0.0156043032,0.346814632
1641,8.209083,0.0430165008,0.13571544,2.20430279,-0.363909602,0.528120399
1642,8.214094,0.043307364,0.164924607,2.64956188,-0.301111728,0.828739882
1643,8.219084,0.0679504052,-0.0224385392,3.35336208,0.229650304,0.0464780331
1644,8.224094,-0.277544647,0.428408742,4.32073879,0.818930686,2.07612205
1645,8.229082,-0.671459496,0.237970859,5.59631634,2.43343925,1.51432705
1646,8.234094,-0.806863666,0.119881757,0.269850969,2.94083786,-1.39970529
1647,8.239081,-1.29053712,0.599406064,0.189173222,4.34784794,-3.79862475
1648,8.244084,0.0684615672,1.40848076,5.44194698,4.07948875,-4.08547449
1649,8.249097,0.70926851,-0.90405941,4.76307201,-5.16052151,-2.58888984
1650,8.254084,-1.40802205,-0.60308677,2.09281826,-1.46410155,-5.58477736
1651,8.259094,0.187939286,1.20887351,5.02270174,4.96855545,-2.94054246
1652,8.264080,0.191402942,-0.160580084,4.62047625,-0.564058661,-0.942299247
1653,8.269093,-0.00940247625,-0.329172969,4.50621462,-1.25769711,-0.465003848
1654,8.274095,0.0108887646,-0.0118568204,4.06422472,-0.0791554898,-0.29009223
1655,8.279095,0.0320641063,-0.0250048619,3.44693041,0.0243183114,-0.252666235
1656,8.284081,0.0835994631,0.0751930624,2.83037233,0.13594535,0.26319313
1657,8.289083,0.101918824,0.135030687,2.3594861,-0.123220243,0.553190231
1658,8.294093,0.0736530945,0.211973593,2.21022463,-0.528887451,0.696687996
1659,8.299079,-0.00483168056,0.121012628,2.50021791,-0.318267465,0.517052531
1660,8.304095,-0.0348273329,0.308311433,3.22668123,-0.349666536,1.55822539
1661,8.309081,-0.538592875,0.568365157,4.42413759,1.04542291,3.12742066
1662,8.314096,-0.935112,-0.174948007,6.11833239,3.58873415,2.26750326
1663,8.319084,0.177767947,-1.41083395,0.946825981,3.8120141,4.33611345
1664,8.324111,-0.217287958,1.08307433,1.93392849,-5.67533779,1.06012952
1665,8.329095,-1.48065937,0.31076327,4.82286739,0.988238573,5.75516939
1666,8.334082,0.834059179,-1.01643264,1.57450867,3.01562667,6.97360086
1667,8.339096,0.250063419,0.22176002,1.77442145,-0.785587847,0.994869769
1668,8.344079,-0.0669969097,0.152373746,1.8213768,-0.567316175,-0.111457348
1669,8.349093,-0.024214793,-0.172448963,2.03214598,0.620904505,-0.264338225
1670,8.354081,0.108803838,-0.038029477,2.06351686,0.282756746,0.334244698
1671,8.359095,0.0830795914,0.132483006,2.09166837,-0.340956241,0.537199914
1672,8.364082,0.00260266941,0.0764231309,2.34905744,-0.239661887,0.259974241
1673,8.369084,0.0470973663,0.112041742,2.84011841,-0.0937514827,0.639721632
1674,8.374094,0.0395901464,0.0465155095,3.47151637,0.130910426,0.315066338
1675,8.379095,0.0726180077,-0.00612289552,4.09524536,0.1112317,-0.112963915
1676,8.384095,0.213034734,-0.228404,4.50350094,-0.746325493,-1.03351259
1677,8.389081,-0.0911271423,-0.248947993,4.38955116,-0.947575688,-0.0888906717
1678,8.394097,0.0566957444,-0.200367868,3.74983549,-0.485763133,-1.10678124
1679,8.399081,-0.125562295,-0.429172218,2.82578397,-0.193088233,-2.00676751
1680,8.404225,-0.525621712,-0.449011534,1.48458672,1.74998844,-2.34473491
1681,8.409094,-0.730507314,-0.0951111317,0.127270937,2.84661102,-0.0473871231
1682,8.414083,-1.11046302,-0.52975899,6.056674,3.69236779,4.34568262
1683,8.419093,-0.855051339,-1.16624069,0.69078517,5.51955128,1.69348323
1684,8.424079,1.16403377,0.219182253,1.36756301,-3.25681448,4.57945967
1685,8.429094,-0.685471892,1.03890538,3.08560801,-4.76174164,3.26483536
1686,8.434082,-1.26086271,-0.72745347,0.51970911,5.77350235,0
1687,8.439094,0.201025948,0.13389869,1.76691675,-0.49464491,0.851821899
1688,8.444083,-0.253682166,0.324162751,2.00796366,-1.24017143,-0.495630503
1689,8.449098,-0.0837442279,-0.385706604,2.31693316,0.979631603,-1.09154403
1690,8.454081,0.351789266,0.0973299444,2.16541624,0.164941862,1.46565652
1691,8.459083,-0.11153011,0.151115492,2.31735754,-0.532484651,-0.0841311216
1692,8.464097,-0.0294846185,-0.293822378,2.42605448,0.734354436,-0.796192169
1693,8.469079,0.197370991,0.182946965,2.29484987,-0.224583641,0.98253119
1694,8.474096,-0.100664198,-0.103700064,2.37878561,0.126286402,-0.619898736
1695,8.479097,0.139289737,-0.017626645,2.31882715,0.327268362,0.428615302
1696,8.484084,0.0113703301,0.0179827195,2.30483961,-0.0119475815,0.050607495
1697,8.489095,0.0618407018,-0.0245743692,2.26555204,0.207563505,0.153018415
1698,8.494084,0.0630839989,0.0344280377,2.22466898,0.0450691693,0.256663889
1699,8.499097,0.0266651157,-0.0268213656,2.16346407,0.164759561,0.0105419457
1700,8.504084,0.0347874314,0.00517060747,2.11164522,0.0730706602,0.103280917
1701,8.509221,0.0538523123,-0.00378905423,2.05735922,0.106896698,0.176329419
1702,8.514083,0.0343903638,-0.00581668923,2.01090288,0.0470681638,0.0973256677
1703,8.519080,0.0821108297,-0.0111163165,1.96696615,0.118896797,0.321277112
1704,8.524097,0.0252646245,0.00744340429,1.93319368,0.0294841453,0.0734488517
1705,8.529079,0.0224500243,0.00293885171,1.9090209,0.0533608869,0.0577560812
1706,8.534095,0.0677877963,0.0060567176,1.89197683,0.0405708626,0.263598442
1707,8.539082,0.000578448293,-0.0147673665,1.88463926,0.095915556,-0.0331110656
1708,8.544190,0.0601443276,0.0164630376,1.87822199,0.00128276076,0.221727133
1709,8.549097,0.0404024459,-0.00132455223,1.87770987,0.0708698556,0.1654232
1710,8.554081,0.0505332425,-0.0007348769,1.87766886,0.0484510623,0.205819711
1711,8.559097,0.0450022444,0.0252504647,1.88475466,-0.0236560199,0.143209934
1712,8.564081,0.0532977134,-0.0137403887,1.88848448,0.118698291,0.213031486
1713,8.569096,0.0904664397,0.0320371203,1.89320421,-0.0284934901,0.381134629
1714,8.574083,0.0407933667,-0.021631971,1.89941263,0.139411837,0.16693005
1715,8.579096,0.0397165455,-0.00593350828,1.9101615,0.0853148922,0.16652678
1716,8.584097,0.077984564,0.00721488521,1.92569399,0.05541192,0.338729054
1717,8.589084,0.0911826417,0.00521210395,1.93718672,0.0610172451,0.395935148
1718,8.594096,0.0429034494,0.00519567635,1.95102453,0.0319544375,0.139374495
1719,8.599080,0.120021574,0.0235412102,1.96277475,0.0192666128,0.52369523
1720,8.604097,0.0283122472,-0.0368100181,1.98314905,0.167636469,0.0809477717
1721,8.609083,0.102458641,0.0231734663,1.9897294,0.0174450651,0.428275496
1722,8.614083,0.0214399304,-0.0108906329,2.00463152,0.0955143273,0.06838274
1723,8.619094,0.0632891357,0.00159613043,2.00736094,0.097452648,0.227405369
1724,8.624080,0.0341301709,-0.0131863924,2.01772356,0.109801754,0.130754471
1725,8.629095,0.0380769521,-0.00695477799,2.02811766,0.0987185985,0.136129037
1726,8.634082,0.0917798504,0.0197892487,2.03390265,0.0358861797,0.383978367
1727,8.639082,0.0463180877,-0.014555933,2.04013395,0.128892884,0.164284036
1728,8.644095,0.0401345193,-0.011745397,2.05077791,0.117239662,0.155461997
1729,8.649082,0.0354483463,-0.00588513399,2.06119394,0.104197353,0.125465035
1730,8.654096,0.0425255448,0.0159368403,2.06961966,0.0292145163,0.154335305
1731,8.659083,0.0899679437,0.0151735013,2.07779837,0.0700747818,0.366338909
1732,8.664080,0.037463177,-0.0260431524,2.09378862,0.148230374,0.111807019
1733,8.669095,0.0655932054,0.0268774144,2.10862589,0.0347730145,0.305256188
1734,8.674084,0.0314817764,-0.00376811158,2.12572718,0.140046343,0.0938562229
