Index,Time,mtr.state.i_dq.v1,mtr.state.i_dq.v2,mtr.state.pos_spd_e.v1,mtr.state.pos_spd_e.v2
11374,11.373986,0.0502797589,0.00152652618,4.56979656,-0.000235022846
11375,11.374982,0.0522537753,-0.000479676528,4.56979656,-2.82127312e-05
11376,11.375981,0.0457445085,-0.00180782645,4.56979656,-3.3867268e-06
11377,11.376997,0.0508833677,0.0024024914,4.56979656,-4.06551152e-07
11378,11.377986,0.0524169803,-0.00511377025,4.56979656,-4.88034182e-08
11379,11.378981,0.0508997627,-0.00406829314,4.56979656,-5.85848436e-09
11380,11.379986,0.0560714155,-0.0127995461,4.56979656,-7.03267111e-10
11381,11.380982,0.0388924293,0.012602997,4.56979656,-8.44219417e-11
11382,11.382069,0.0498229526,-0.00118612824,4.56979656,-1.01342216e-11
11383,11.382984,0.0508997627,-0.00406829314,4.56979656,-1.21653729e-12
11384,11.383983,0.0513399094,0.00145116495,4.55931187,-9.42686272
11385,11.384985,0.0529861599,0.00871366076,4.55909061,-1.13162422
11386,11.385983,0.0508829169,0.00241200393,4.55908489,-0.135843009
11387,11.386984,0.0511934347,-0.000385349849,4.55908489,-0.0163069349
11388,11.387983,0.0511934385,-0.000385348452,4.55908489,-0.00195752527
11389,11.388985,0.0534607545,0.00128224911,4.55908489,-0.000234986233
11390,11.389998,0.0507364571,0.000575286802,4.55908489,-2.82083347e-05
11391,11.390985,0.0420713611,0.0123565942,4.55908489,-3.38619907e-06
11392,11.391984,0.0569701716,-0.00823955517,4.55908489,-4.064878e-07
11393,11.392984,0.0555992201,-0.00535764825,4.55908489,-4.87958118e-08
11394,11.393984,0.0504259318,0.00337264175,4.55908489,-5.85757132e-09
11395,11.394982,0.0489264987,-0.00204399135,4.54859638,-9.42833138
11396,11.395982,0.0507363454,0.000584770925,4.54837513,-1.13180053
11397,11.396986,0.052565001,-0.00325742667,4.54836941,-0.135864168
11398,11.397985,0.051193513,-0.000375773059,4.54836941,-0.0163094755
11399,11.398985,0.0452880152,-0.000830169069,4.54836941,-0.00195783027
11400,11.399985,0.0466406904,0.00275895838,4.54836941,-0.000235022846
11401,11.400997,0.0532955751,0.00592628308,4.54836941,-2.82127312e-05
11402,11.401983,0.0521078371,-0.00229687663,4.54836941,-3.3867268e-06
11403,11.402999,0.0522539504,-0.000460135518,4.54836941,-4.06551152e-07
11404,11.403983,0.0510473922,-0.00221251696,4.54836941,-4.88034182e-08
11405,11.404982,0.0489268787,-0.00203484483,4.53788471,-9.42686272
11406,11.405986,0.0478664301,-0.00195049297,4.53766346,-1.13162422
11407,11.406985,0.0486153215,0.000762585085,4.53765774,-0.135843009
11408,11.407981,0.0475548618,0.000846746378,4.53765774,-0.0163069349
11409,11.408982,0.0516511649,-0.00131721655,4.52717113,-9.42882061
11410,11.409985,0.0515057407,-0.00315380888,4.52694798,-1.13185918
11411,11.410985,0.0519420207,0.00235658046,4.52694416,-0.135871217
11412,11.411982,0.0516514108,-0.0013075585,4.51645756,-9.44464207
11413,11.412983,0.0504233949,0.00341035146,4.51623249,-1.13375843
11414,11.413985,0.0486150347,0.000780767994,4.51622868,-0.136099204
11415,11.414998,0.0483248644,-0.00289288093,4.51622868,-0.016337689
11416,11.415984,0.0495304391,-0.00113982102,4.51622868,-0.00196121703
11417,11.416985,0.0375519469,0.00258557848,4.50574398,-9.42709827
11418,11.417983,0.0489043631,0.00446355436,4.50552082,-1.13165247
11419,11.418984,0.0486621968,-0.012151666,4.50551701,-0.135846391
11420,11.419983,0.0537963323,-0.00793558825,4.50551701,-0.0163073409
11421,11.420983,0.0448070802,0.00663467217,4.50551701,-0.00195757393
11422,11.421982,0.0507358946,0.000622723717,4.50551701,-0.000234992069
11423,11.422982,0.0470961556,0.00184225268,4.4950304,-9.42835999
11424,11.423984,0.0513879731,-0.0114325471,4.49480534,-1.13180399
11425,11.424981,0.0519655682,-0.0040850346,4.49480152,-0.135864586
11426,11.425999,0.0526875556,0.00509935385,4.49480152,-0.0163095258
11427,11.426986,0.0496752597,0.000715580536,4.49480152,-0.00195783633
11428,11.427983,0.0686002001,-0.0368125811,4.49480152,-0.000235023574
11429,11.428983,0.0463755094,-0.00733346166,4.48431683,-9.42689133
11430,11.429982,0.0484444536,0.00544187985,4.48409367,-1.13162768
11431,11.430982,0.034081243,-0.000824531307,4.48408985,-0.135843426
